게임 이름,할인 시작일,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격,할인 시작 날짜
dead-by-daylight,2025-07-30,GameBillet,,64%,27802,9958,-932.0,
dead-by-daylight,2025-07-30,GameBillet,16 hours,61%,27802,10890,-2865.0,
dead-by-daylight,2025-07-30,GameBillet,19 minutes,51%,27802,13755,2781.0,
dead-by-daylight,2025-07-30,GameBillet,39 minutes,61%,27802,10974,-14631.0,
dead-by-daylight,2025-07-30,Epic Game Store,,60%,24900,9960,-14940.0,
dead-by-daylight,2025-07-30,Steam,,60%,21500,8600,-12900.0,
dead-by-daylight,2025-07-29,GreenManGaming,,60%,21500,8600,-12900.0,
dead-by-daylight,2025-07-29,Microsoft Store,,60%,21500,8600,-12900.0,
dead-by-daylight,2025-07-23,GameBillet,6 days,8%,27802,25605,-2197.0,
dead-by-daylight,2025-07-23,GameBillet,19 minutes,0%,27802,27802,2114.0,
dead-by-daylight,2025-07-22,GameBillet,1 day,8%,27802,25688,-2114.0,
dead-by-daylight,2025-07-22,GameBillet,19 minutes,0%,27802,27802,2030.0,
dead-by-daylight,2025-07-18,GameBillet,3 days,7%,27802,25772,-2030.0,
dead-by-daylight,2025-07-11,GreenManGaming,18 days,0%,21500,21500,12900.0,
dead-by-daylight,2025-07-11,GameBillet,7 days,0%,27802,27802,NoData,
dead-by-daylight,2025-07-11,Steam,18 days,0%,21500,21500,12900.0,
dead-by-daylight,2025-06-28,Epic Game Store,31 days,0%,24900,24900,14940.0,
dead-by-daylight,2025-06-24,Microsoft Store,34 days,0%,21500,21500,12900.0,
dead-by-daylight,2025-06-18,Steam,23 days,60%,21500,8600,-12900.0,
dead-by-daylight,2025-06-18,GreenManGaming,23 days,60%,21500,8600,-12900.0,
dead-by-daylight,2025-06-18,Epic Game Store,10 days,60%,24900,9960,-14940.0,
dead-by-daylight,2025-06-10,Microsoft Store,14 days,60%,21500,8600,-12900.0,
dead-by-daylight,2025-05-17,Epic Game Store,31 days,0%,24900,24900,14940.0,
dead-by-daylight,2025-05-10,Epic Game Store,7 days,60%,24900,9960,-14940.0,
dead-by-daylight,2025-04-16,Steam,2 months,0%,21500,21500,12900.0,
dead-by-daylight,2025-04-10,Epic Game Store,30 days,0%,24900,24900,14940.0,
dead-by-daylight,2025-04-08,Microsoft Store,2 months,0%,21500,21500,12900.0,
dead-by-daylight,2025-04-03,Steam,12 days,60%,21500,8600,-12900.0,
dead-by-daylight,2025-04-01,Microsoft Store,7 days,60%,21500,8600,-12900.0,
dead-by-daylight,2025-03-27,Epic Game Store,13 days,60%,24900,9960,-14940.0,
dead-by-daylight,2025-03-21,Steam,12 days,0%,21500,21500,12900.0,
dead-by-daylight,2025-03-14,Steam,6 days,60%,21500,8600,-12900.0,
dead-by-daylight,2025-02-25,Steam,17 days,0%,21500,21500,12900.0,
grounded-2,2025-07-30,Steam,,0%,34800,34800,NoData,
grounded-2,2025-07-30,Microsoft Store,,0%,34800,34800,NoData,
,,Steam,,0%,2300,2300,1150.0,2025-07-11
,,Steam,12 days,50%,2300,1150,-1150.0,2025-06-28
,,Steam,3 months,0%,2300,2300,920.0,2025-03-16
,,Steam,14 days,40%,2300,1380,NoData,2025-03-02
,,GameBillet,,16%,69624,58398,-2870,2025-07-30
,,GameBillet,19 minutes,12%,69624,61268,2786,2025-07-30
,,Gamer Thor,,16%,69624,58412,-11212,2025-07-30
,,GameBillet,1 hour,16%,69624,58482,9749,2025-07-30
,,AllYouPlay,,13%,69624,60710,-8914,2025-07-29
,,PlanetPlay,,0%,68405,68405,34202,2025-07-29
,,GameBillet,4 days,30%,69624,48733,18817,2025-07-26
,,GreenManGaming,,0%,53000,53000,26500,2025-07-26
,,Noctre,,0%,69624,69624,35501,2025-07-26
,,AllYouPlay,3 days,0%,69624,69624,39234,2025-07-26
,,WinGameStore,,0%,69624,69624,34819,2025-07-26
,,Gamer Thor,4 days,0%,69624,69624,36212,2025-07-26
,,Humble Store,,0%,69624,69624,34819,2025-07-26
,,Gamer Thor,10 hours,52%,69624,33412,3482,2025-07-25
,,GameBillet,1 day,57%,69624,29916,-2925,2025-07-24
,,GameBillet,19 minutes,53%,69624,32841,2785,2025-07-24
,,Gamer Thor,21 hours,57%,69624,29930,4039,2025-07-24
,,Gamer Thor,2 hours,63%,69624,25891,-4179,2025-07-24
,,GameBillet,3 hours,57%,69624,30056,4095,2025-07-24
,,GameBillet,39 minutes,63%,69624,25961,-4178,2025-07-24
,,Gamer Thor,2 hours,57%,69624,30070,-4735,2025-07-24
,,Gamer Thor,11 hours,50%,69624,34805,4652,2025-07-24
,,GameBillet,17 hours,57%,69624,30139,-2869,2025-07-23
,,GameBillet,19 minutes,53%,69624,33008,2785,2025-07-23
,,Gamer Thor,20 hours,57%,69624,30153,-39471,2025-07-23
,,Gamer Thor,59 minutes,0%,69624,69624,39387,2025-07-23
,,IndieGala Store,,0%,69624,69624,34819,2025-07-21
,,GameBillet,4 days,57%,69624,30223,-2869,2025-07-19
,,GameBillet,20 minutes,52%,69624,33092,2786,2025-07-19
,,Gamer Thor,3 days,57%,69624,30237,-83,2025-07-19
,,GameBillet,1 hour,56%,69624,30306,-1992,2025-07-19
,,Gamer Thor,5 hours,56%,69624,30320,-1992,2025-07-19
,,AllYouPlay,7 days,56%,69624,30390,-39234,2025-07-18
,,AllYouPlay,,0%,83552,83552,75195,2025-07-31
,,GameBillet,,17%,83552,69318,-14234,2025-07-31
,,IndieGala Store,,0%,83552,83552,75209,2025-07-31
,,GameBillet,20 minutes,0%,83552,83552,76115,2025-07-31
,,Humble Store,,0%,83552,83552,75209,2025-07-31
,,Noctre,,0%,83552,83552,75265,2025-07-30
,,GamersGate,,0%,65000,65000,58500,2025-07-27
,,GreenManGaming,,95%,65000,3000,-2900,2025-07-26
,,GreenManGaming,few seconds,91%,65000,5900,-59100,2025-07-26
,,GamersGate,1 day,90%,65000,6500,-58500,2025-07-25
,,GamersGate,few seconds,0%,65000,65000,58500,2025-07-25
,,Humble Store,5 days,90%,83552,8343,4179,2025-07-25
,,GameBillet,7 days,91%,83552,7437,-920,2025-07-24
,,IndieGala Store,7 days,90%,83552,8343,4179,2025-07-23
,,GameBillet,15 hours,90%,83552,8357,-60961,2025-07-23
,,GamersGate,1 day,90%,65000,6500,-58500,2025-07-23
,,Noctre,7 days,90%,83552,8287,-75265,2025-07-23
,,AllYouPlay,7 days,90%,83552,8357,-75195,2025-07-23
,,GreenManGaming,6 days,0%,65000,65000,59100,2025-07-19
,,2game,,0%,65000,65000,61750,2025-07-18
,,WinGameStore,,95%,83552,3872,-2103,2025-07-18
,,MacGameStore,,95%,83552,3872,-292,2025-07-18
,,WinGameStore,1 hour,93%,83552,5975,2437,2025-07-18
,,Humble Store,6 days,95%,83552,4164,-79388,2025-07-18
,,GamesPlanet US,,10%,83552,75195,66852,2025-07-18
,,Epic Game Store,,90%,65000,6500,-58500,2025-07-18
,,MacGameStore,11 hours,95%,83552,4164,-79388,2025-07-17
,,Dreamgame,,0%,65000,65000,58500,2025-07-17
,,Microsoft Store,,80%,34000,6800,-27200,2025-07-17
,,GreenManGaming,4 days,91%,65000,5900,-59100,2025-07-14
,,AllYouPlay,10 days,0%,83552,83552,79374,2025-07-13
,,GameBillet,10 days,17%,83552,69318,62034,2025-07-13
,,Fanatical,,0%,83552,83552,79388,2025-07-13
,,GamersGate,10 days,0%,65000,65000,62010,2025-07-13
,,Noctre,10 days,0%,83552,83552,79402,2025-07-13
,,GreenManGaming,3 days,0%,65000,65000,62000,2025-07-11
,,Steam,,0%,65000,65000,61750,2025-07-11
,,Dreamgame,8 days,90%,65000,6500,-58500,2025-07-08
,,Dreamgame,3 hours,0%,65000,65000,58500,2025-07-08
